Fuel Type Code,Station Name,State,ZIP,Latitude,Longitude
ELEC,Los Angeles International Airport (LAX) - Lot 1,CA,90045,33.944761,-118.399767
ELEC,Southern California Edison - Sacramento Office,CA,95831,38.578568,-121.491058
ELEC,Burlington International Airport,VT,05403,44.469281,-73.154972
ELEC,LADWP - Boylston,CA,90026,34.059047,-118.256812
ELEC,LADWP - Central District,CA,90015,34.033898,-118.256673
ELEC,LADWP - Lincoln Heights District,CA,90031,34.081998,-118.21713
ELEC,LADWP - Receiving Station C,CA,90744,33.799476,-118.257977
ELEC,LADWP - Valley Center Admin Lot,CA,91405,34.208708,-118.444358
ELEC,LADWP - Valley Generating Station,CA,91352,34.241928,-118.390147
ELEC,City of Lacey - City Hall Parking,WA,98503,47.044011,-122.822404
ELEC,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,OR,97214,45.508396,-122.664667
ELEC,City of Ukiah - Public Parking Lot,CA,95482,39.15,-123.2091
ELEC,Nut Tree Village,CA,95688,38.368755,-121.961192
ELEC,Placer County Community Development Resource Center,CA,95603,38.9412492,-121.1054805
ELEC,4th and G Plaza Public Parking Garage,CA,95616,38.54643,-121.7388
ELEC,Davis Amtrak Station,CA,95616,38.5443,-121.738
ELEC,University of California - Davis - Quad Parking Structure,CA,95616,38.544538,-121.749713
ELEC,University Covenant Church,CA,95618,38.55755,-121.6947
ELEC,Wildhorse Golf Club,CA,95618,38.569412,-121.721373
ELEC,Lakewood Center Mall,CA,90712,33.84788,-118.13889
ELEC,Golden Gate Ferry Terminal,CA,94939,37.94495,-122.5096
ELEC,Oakland International Airport - Daily Lot,CA,94621,37.7136,-122.2087
ELEC,City of Champaign - Hill Street Parking Deck,IL,61820,40.119161,-88.244185
ELEC,Discovery Center of Idaho,ID,83702,43.608009,-116.197968
ELEC,Nike - LA Garage,OR,97006,45.508795,-122.8249
ELEC,Fairfield Transportation Center,CA,94533,38.2482,-122.0678
ELEC,San Francisco City Hall,CA,94102,37.77913,-122.418
ELEC,LINCOLN CITY TAFT DUAL 1,OR,97367,44.928439,-124.015824
ELEC,OUC RELIABLE 01,FL,32801,28.535975,-81.379663
ELEC,MGE WILLY ST E,WI,53703,43.083979,-89.363091
ELEC,LBCC  LBCC DUAL 2,OR,97321,44.586123,-123.115389
ELEC,OEG,OR,97210,45.545898,-122.707102
ELEC,Home Depot,CA,93405,35.249929,-120.689683
ELEC,San Luis Obispo Promenade - Bed Bath & Beyond,CA,93401,35.25982,-120.676
ELEC,New York State Energy Research Development Authority - Headquarters,NY,12203,42.702424,-73.857693
ELEC,Avista Corp,WA,99252,47.673347,-117.388933
ELEC,Steam Plant Grill,WA,99201,47.654998,-117.425025
ELEC,Kum & Go #4110,IA,50317,41.615759,-93.57875
ELEC,Kum & Go #570,IA,50131,41.682385,-93.698315
ELEC,TUCSON RENTAL OFF NETWORK 1,AZ,85748,32.236156,-110.781792
ELEC,Element Hotels - Ewing,NJ,08628,40.286518,-74.807516
ELEC,Lane Community College,OR,97405,44.009797,-123.033213
ELEC,BROOKFIELD PROP 300 CLAY STAT1,TX,77002,29.756604,-95.372854
ELEC,Goleta Mechanics Bank,CA,93117,34.44198,-119.829553
ELEC,INTERPARK 50 EAST OHIO 2,IL,60611,41.892757,-87.626038
ELEC,City of Spartanburg - Municipal Parking Garage,SC,29306,34.950136,-81.93279
ELEC,City of Spartanburg - Municipal Parking Garage,SC,29306,34.951926,-81.931714
ELEC,City of Union Town Hall,SC,29379,34.715982,-81.624616
ELEC,Whole Foods Market,CT,06824,41.157925,-73.240315
ELEC,Propark America - Omni Hotel Chapel Square Garage,CT,06510,41.305794,-72.927405
ELEC,City of New Haven - Air Rights Garage,CT,06511,41.305265,-72.934141
ELEC,City of New Haven - Temple Street Garage,CT,06510,41.304245,-72.928369
ELEC,New London Parking Authority - Water Street Public Parking Garage,CT,06320,41.355486,-72.093784
ELEC,Town of Westport - Westport Metro North,CT,06880,41.119291,-73.369266
ELEC,Park 'N Fly - Bradley International Airport,CT,06078,41.951328,-72.663078
ELEC,GATEWAYKENOSHA  HORIZON MAINLOT,WI,53144,42.592469,-87.915847
ELEC,MGE GREENWAY STAT,WI,53562,43.091229,-89.52884
ELEC,Spinx #149,SC,29206,34.042116,-80.939041
ELEC,Baker Electric Building,OH,44103,41.503373,-81.639054
ELEC,McDonald's,WV,25703,38.417603,-82.456866
ELEC,OUC OC BARNETT 1,FL,32808,28.560572,-81.441748
ELEC,OUC OC MARKS ST 01,FL,32803,28.556879,-81.377632
ELEC,OUC OUC OCCC 03,FL,32819,28.429015,-81.458938
ELEC,OUC OC W LIBRARY 01,FL,32811,28.528024,-81.44774
ELEC,OUC OC MED EXAM 01,FL,32806,28.512494,-81.351919
ELEC,French Gerleman,MO,63146,38.694036,-90.4218
ELEC,HILLSBORO OR MAIN ST 1,OR,97123,45.522609,-122.988535
ELEC,HILLSBORO OR EV-8,OR,97123,45.520533,-122.978089
ELEC,BELLEVUE BELLEVUE CH 1,WA,98004,47.614744,-122.193162
ELEC,Oregon Museum of Science and Industry (OMSI) - North Parking Lot,OR,97214,45.509326,-122.666392
ELEC,Liberty Park,UT,84119,40.74686,-111.876
ELEC,Salt Lake City Main Library,UT,84111,40.759561,-111.883924
ELEC,The Evergreen State College,WA,98505,47.071917,-122.976675
ELEC,The Hartford Financial Services Group - Lot 4,CT,06105,41.770428,-72.687141
ELEC,The Hartford Financial Services Group,CT,06095,41.879631,-72.729919
ELEC,JCCC MTC,KS,66210,38.92591,-94.72819
ELEC,Courtyard Marriott - Hadley Amherst,MA,01035,42.36262,-72.5395
ELEC,City of Delray Beach - Banker's Row Parking Lot,FL,33444,26.465314,-80.07219
ELEC,KING COUNTY DOT ISSAQUAH P&R 2,WA,98027,47.545324,-122.0195
ELEC,King County - King County Van Distribution Center,WA,98052,47.675897,-122.091237
ELEC,Eversource,CT,06106,41.765253,-72.671569
ELEC,SEAPORT GARAGE EAST GARAGE2 P1,MA,02210,42.349249,-71.041557
ELEC,City of Columbia - Cannon Garage,SC,29201,34.00741493349311,-81.03480060447691
ELEC,City of Columbia - Washington Street Garage,SC,29201,34.003323,-81.035693
ELEC,City of Columbia - Arsenal Hill Garage,SC,29201,34.008409,-81.041802
ELEC,City of Columbia - Lincoln Street Garage,SC,29201,34.002255,-81.040219
ELEC,Greenville Zoo,SC,29601,34.84709,-82.387269
ELEC,City of Greenville - Poinsett Garage,SC,29601,34.849724,-82.400667
ELEC,City of Greenville - Spring Street Garage,SC,29601,34.849889,-82.397797
ELEC,City of Greenville - Church Street Garage,SC,29601,34.852754,-82.393113
ELEC,City of Columbia - Park Street Garage,SC,29201,33.997786,-81.036161
ELEC,City of Greenville - Commons Garage,SC,29601,34.852789,-82.396195
ELEC,City of Greenville - Liberty Square Garage,SC,29601,34.85335,-82.394826
ELEC,City of Greenville - Richardson Garage,SC,29601,34.852437,-82.399901
ELEC,City of Rock Hill - Municipal Garage,SC,29730,34.925782,-81.028444
ELEC,Timken Sports Complex,SC,29379,34.716556,-81.648482
ELEC,Lockhart Power,SC,29364,34.77993955183312,-81.4573590734024
ELEC,Toyota of Santa Monica,CA,90401,34.019875,-118.49151
ELEC,Parc 55 Hotel,CA,94102,37.784871,-122.408991
ELEC,Beach & Hyde Garage,CA,94109,37.806798,-122.419488
ELEC,City of Santa Monica - Civic Parking Garage,CA,90401,34.010528,-118.4898
ELEC,Denver International Airport - Canopy Airport Parking,CO,80022,39.843886,-104.771138
ELEC,Town of Superior - Town Hall,CO,80027,39.953798,-105.166116
ELEC,Charles Hotel - Harvard Square,MA,02138,42.372442,-71.122882
ELEC,Town of Dyer - Town Hall,IN,46311,41.492057,-87.522819
ELEC,Peaches Bed & Breakfast,MI,49503,42.962078,-85.659019
ELEC,ComEd,IL,60618,41.94629288,-87.69982
ELEC,ComEd,IL,60652,41.75497055,-87.71321
ELEC,City Hall Annex - Town of Normal,IL,61761,40.507796,-88.982897
ELEC,College Avenue Parking Deck,IL,61761,40.511172,-88.984985
ELEC,State of Illinois - Governor's Mansion,IL,62703,39.79628,-89.6504
ELEC,Duke Energy,IN,46168,39.70909,-86.3894
ELEC,MCDONALD SWLA CHARGE AT MCD 1,LA,70601,30.198704,-93.212318
ELEC,3M,MN,55117,44.95121,-92.9952
ELEC,UWB CASCADIA CC NORTH LEVEL 3 N,WA,98011,47.761878,-122.191915
ELEC,CITY OF REDMOND CITY HALL DUAL,WA,98052,47.679224,-122.12995
ELEC,CITY OF REDMOND MOC #1 PUBLIC,WA,98052,47.672359,-122.099034
ELEC,WILLOWS LODGE WILLOWS #2,WA,98072,47.734211,-122.147041
ELEC,MGE PINNACLE HEALTH,WI,53719,43.011411,-89.459112
ELEC,MGE WILLY ST W,WI,53562,43.096636,-89.500008
ELEC,City of Raleigh - Municipal Building,NC,27601,35.778416,-78.64347
ELEC,City of Raleigh - Downtown,NC,27601,35.77435,-78.642287
ELEC,Missouri University of Science and Technology - E3 Commons,MO,65401,37.958953,-91.779289
ELEC,Clay Cooley Nissan,TX,78745,30.206145,-97.759109
ELEC,Eversource Energy Park,NH,03101,42.999265,-71.467911
ELEC,Super 8 - Ukiah,CA,95482,39.1458,-123.198497
ELEC,KEMET Corp,SC,29681,34.749177,-82.279741
ELEC,Hotel Floyd,VA,24091,36.910575,-80.31736
ELEC,Virginia Commonwealth University (VCU) - West Broad Street Parking Deck,VA,23284,37.551409,-77.45233
ELEC,Virginia Commonwealth University (VCU) - N-Deck Parking Deck,VA,23298,37.543387,-77.42953
ELEC,Oak Ridge Nissan,TN,37830,36.010279,-84.268049
ELEC,Newton Nissan South,TN,37160,35.558371,-86.448276
ELEC,McGavock Nissan - Abilene,TX,79606,32.408909,-99.771463
ELEC,McGavock Nissan - Amarillo,TX,79119,35.159354,-101.938937
ELEC,Don Davis Nissan,TX,76018,32.676458,-97.087169
ELEC,Town North Nissan,TX,78758,30.374542,-97.731445
ELEC,Baytown Nissan,TX,77521,29.80725299717069,-94.97383364868772
ELEC,Mike Smith Nissan,TX,77701,30.062535,-94.133511
ELEC,Grubbs Nissan,TX,76022,32.839339,-97.160994
ELEC,Douglass Nissan,TX,77845,30.639201,-96.30671
ELEC,Ed Hicks Nissan,TX,78415,27.73082,-97.416019
ELEC,Clay Cooley Nissan,TX,75237,32.646784,-96.863492
ELEC,Classic Nissan,TX,75020,33.775328,-96.58308
ELEC,Casa Nissan,TX,79925,31.783928,-106.417267
ELEC,Viva Nissan,TX,79936,31.724024,-106.302211
ELEC,Nissan of Fort Worth,TX,76116,32.721585,-97.478539
ELEC,Texas Nissan of Grapevine,TX,76051,32.928183,-97.09448
ELEC,Charlie Clark Nissan,TX,78552,26.186259,-97.734663
