,Fuel Type Code,Station Name,State,ZIP,Latitude,Longitude
64255,ELEC,CITY OF SANTEE CITY HALL,CA,92071,32.87028,-116.970146
64256,ELEC,Q34 SURFACE PARKING,CO,80207,39.765179,-104.904148
64257,ELEC,FURNACE POINT FPEV2,NY,12993,44.193295,-73.42691
64258,ELEC,FURNACE POINT FPEV3,NY,12993,44.193195,-73.42714
64259,ELEC,SOUTH WIND SWM STATION 1,OH,43206,39.943294,-82.997464
64260,ELEC,IKEA USA RENTON 5,WA,98032,47.441532,-122.228219
64261,ELEC,IKEA USA RENTON 4,WA,98057,47.441532,-122.228004
64262,ELEC,IKEA USA RENTON 3,WA,98057,47.442974,-122.227286
64263,ELEC,IKEA USA RENTON 2,WA,98057,47.442791,-122.227276
64264,ELEC,IKEA USA RENTON ST 1,WA,98057,47.442789,-122.227261
64265,ELEC,HB CAMPUS HB CAMPUS,CA,94010,37.562035,-122.38153
64266,ELEC,LAMAR STATION 1 STATION2,TX,77705,30.043207,-94.075898
64267,ELEC,SOUTH WIND SWM STATION 2,OH,43206,39.943304,-82.997359
64268,ELEC,2700 COLORADO LEVEL C 01,CA,90404,34.031422,-118.469594
64269,ELEC,2700 COLORADO LEVEL C 02,CA,90404,34.03144,-118.46968
64270,ELEC,SMLD DUNKIN DONUTS,MA,01564,42.444233,-71.75204
64271,ELEC,Stone Mountain Square,GA,30087,33.82233,-84.11434
64272,ELEC,"Site Centers The Hub (Hempstead, NY)",NY,11550,40.706011,-73.630952
64273,ELEC,"BOA Medfield MA6-277 (Medfield, MA)",MA,02052,42.186233,-71.305216
64274,ELEC,Complexe Aquatique Brossard,QC,J4Y 1R2,45.450171,-73.45626
64275,ELEC,Village Little Forks,QC,G9N 0A3,45.3668173,-71.8552437
64276,ELEC,Village Little Forks,QC,J1H 5C7,45.3668173,-71.8552437
64277,ELEC,1451 Alexis Nihon,QC,H4R 2R4,45.510129,-73.699756
64278,ELEC,4814 6e avenue,QC,H1Y 2P2,45.546122,-73.5685
64279,ELEC,5499 Décarie,QC,H3W 3C6,45.4869584,-73.6355896
64280,ELEC,Bromont - Pavillon des Sommets,QC,J2L 1J6,45.299623,-72.667292
64281,ELEC,Gabriel,QC,J0H 1R0,45.6485616,-72.7615037
64282,ELEC,Parc des Sept chutes,QC,G0M 0Z5,46.1130492,-70.7085671
64284,ELEC,Wawa - Tesla Supercharger,FL,33950,26.89569,-82.011268
64285,ELEC,Royal Farms - Tesla Supercharger,MD,21704,39.327271,-77.34652
64286,ELEC,VGO - Tesla Supercharger,SC,29673,34.757187,-82.474101
64287,ELEC,Village at Westlake - Tesla Supercharger,TX,78746,30.289722,-97.827417
64288,ELEC,Wawa - Tesla Supercharger,MD,21801,38.420772,-75.56579
64289,ELEC,Safeway,WA,98368,48.108048030713,-122.782098128727
64290,ELEC,Safeway,WA,98277,48.2862477995638,-122.661971199788
64291,ELEC,Cinemark,CO,80525,40.5209495471308,-105.041824821344
