,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Latitude,Longitude
25928,ELEC,Inn At The Market,86 Pine Street,Seattle,WA,98101,47.6098122,-122.3413016
25929,ELEC,1201 Third,"1201 Third Avenue
Suite 520",Seattle,WA,98101,47.6072826,-122.3360929
25930,ELEC,Pike Place Market,1901 Western Avenue,Seattle,WA,98101,47.6091582,-122.3418441
25931,ELEC,Level A,"999 Third Avenue, Level A",Seattle,WA,98104,47.6048564,-122.3338286
25932,ELEC,Second and Seneca Tower,1191 2nd Avenue,Seattle,WA,98101,47.6060061,-122.336716
25933,ELEC,Millennium Tower,719 Second Ave,Seattle,WA,98104,47.6034418,-122.3339101
25934,ELEC,Union Station Parking Garage (#USPG),550 4th Avenue South,Seattle,WA,98134,47.5975078,-122.328595
25935,ELEC,Avalara Hawk Tower,255 S. King Street,Seattle,WA,98104,47.5980919,-122.3309701
25936,ELEC,531610: Stadium Innovation Center,1531 Utah Avenue South,Seattle,WA,98134,47.5892477,-122.3358112
25937,ELEC,"Walgreens - Renton, WA #7355",3011 NE Sunset Blvd,Renton,WA,98056,47.5025057,-122.1780214
25938,ELEC,"Walgreens - Renton, WA #12497",4105 NE 4th St,Renton,WA,98059,47.4884945,-122.1642138
25939,ELEC,"Walgreens - Des Moines, WA #9423",23003 Pacific Highway South,Des Moines,WA,98198,47.3951507,-122.2953153
25940,ELEC,Auburn Corporate Center I,1102 15th Street Southwest,Auburn,WA,98001,47.2944668,-122.2458311
25941,ELEC,Four Lakes Apartments,6821 Udall Place Southeast,Auburn,WA,98092,47.24745538956,-122.20054897354
25942,ELEC,Copperline Apartments,5005 Main Street,Tacoma,WA,98407,47.298158744057,-122.50341835087
25943,ELEC,531617 : Court C Parking Level - Charging Stations,1149 Market Street,Tacoma,WA,98402,47.2515929,-122.4407988
25945,ELEC,"Walgreens - Tacoma, WA #9590",5602 Pacific Ave,Tacoma,WA,98408,47.20619,-122.434402
25946,ELEC,"Walgreens - University Place, WA #3723",7451 Crique Dr W,University Place,WA,98467,47.2136054,-122.5366188
25947,ELEC,Steilacoom EV Station,207 Wilkes Street,Steilacoom,WA,98388,47.1727264,-122.5984377
25948,ELEC,DuPont Grocery Inc.,100 Barksdale Avenue,DuPont,WA,98327,47.093942,-122.6260623
25949,ELEC,Dupont Family Dentistry,975 Ross Avenue,DuPont,WA,98327,47.0920691,-122.6422247
25951,ELEC,Nisqually Red Wind Casino,12819 Yelm Hwy SE,Olympia,WA,98513,47.0002897,-122.6682861
25960,ELEC,Capitol & Main,770 West Main Street,Boise,ID,83702,43.6154629,-116.2025376
25961,ELEC,City Center Plaza Garage,195 South Capitol Boulevard,Boise,ID,83706,43.614301958043,-116.20293931501
25962,ELEC,Adrift Hotel,409 Sid Snyder Dr.,Long Beach,WA,98631,46.3455914,-124.060608
